id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm161904,Bully,MOVIE,2011,92,"drama, documentation",US,7.4,10266.0,6.651,7.2
tm44165,"Chaos, Disorder",MOVIE,2012,76,"drama, family, fantasy",EG,6.2,109.0,1.024,7.0
tm53034,Sebastian Maniscalco: What's Wrong with People?,MOVIE,2012,75,comedy,US,8.0,1217.0,1.98,7.8
ts32460,Inborn Pair,SHOW,2011,43,drama,TW,7.1,108.0,4.989,1.0
ts26776,Smile PreCure!,SHOW,2012,23,"action, comedy, scifi, family, fantasy, animation",JP,6.2,391.0,10.849,7.6
tm164353,Singham,MOVIE,2011,135,"drama, action, crime",IN,6.8,16827.0,7.066,6.7
ts39093,EastSiders,SHOW,2012,23,"comedy, drama",US,6.8,2783.0,5.685,6.9
ts33349,Robocar Poli,SHOW,2011,14,"animation, comedy, family, fantasy",KR,6.0,126.0,11.341,7.7
tm38064,Berserk: The Golden Age Arc II - The Battle for Doldrey,MOVIE,2012,98,"action, drama, fantasy, animation, horror",JP,7.7,10470.0,20.201,7.5
tm182125,Zindagi Na Milegi Dobara,MOVIE,2011,166,"romance, drama, comedy",IN,8.1,76565.0,11.997,7.6
ts55532,LEGO Friends,SHOW,2012,16,"animation, european",US,7.6,20.0,3.483,5.0
ts191698,Little Baby Bum,SHOW,2011,7,"family, music, animation",GB,6.4,94.0,0.971,10.0
ts45996,Outback Truckers,SHOW,2012,44,"reality, documentation",AU,7.4,264.0,6.693,8.1
tm160361,A Princess for Christmas,MOVIE,2011,89,"family, romance, comedy, drama",US,6.3,8268.0,22.33,7.1
tm34331,Middle of Nowhere,MOVIE,2012,101,drama,US,6.5,1838.0,2.677,6.7
tm183039,Donald Glover: Weirdo,MOVIE,2012,65,"comedy, documentation",US,7.4,3584.0,5.743,6.8
ts35426,LEGO City,SHOW,2011,4,"animation, european",GB,5.0,37.0,1.403,5.8
ts58528,Inside West Coast Customs,SHOW,2011,43,reality,US,7.3,44.0,4.71,9.1
tm177258,Delhi Belly,MOVIE,2011,102,"comedy, action, crime, thriller",IN,7.5,29927.0,6.638,7.0
tm174190,Undefeated,MOVIE,2011,113,"documentation, sport",US,7.7,7073.0,6.591,7.7
tm68436,Barfi!,MOVIE,2012,151,"drama, romance, comedy",IN,8.1,81198.0,7.897,7.5
tm65765,6 Bullets,MOVIE,2012,115,"thriller, action, crime, drama",US,6.0,14988.0,31.445,6.1
tm179451,7 Khoon Maaf,MOVIE,2011,148,"thriller, comedy, drama",IN,6.2,5969.0,5.469,6.3
tm177044,Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,108,"action, comedy, horror, thriller, animation, fantasy",JP,7.1,5104.0,184.852,7.2
tm49451,Maria Bamford: The Special Special Special!,MOVIE,2012,50,comedy,US,7.0,567.0,1.407,7.0
tm1096916,The Trial of Adolf Eichmann,MOVIE,2011,90,documentation,FR,7.5,84.0,1.241,8.3
tm176128,Don't Go Breaking My Heart,MOVIE,2011,115,"romance, comedy",HK,6.5,1803.0,3.662,6.6
tm67444,Jim Gaffigan: Mr. Universe,MOVIE,2012,77,comedy,US,7.7,3524.0,3.991,6.9
tm183176,A Second Chance,MOVIE,2011,90,"drama, family, sport",AU,4.7,1030.0,6.388,6.2
tm40860,Big Time Movie,MOVIE,2012,68,"comedy, music, family",US,6.1,1962.0,14.213,7.6
tm35700,Paan Singh Tomar,MOVIE,2012,135,"drama, crime, sport, thriller, action",IN,8.2,36077.0,4.424,7.4
tm169053,Shor in the City,MOVIE,2011,107,"drama, crime",IN,7.2,3753.0,4.11,6.4
tm53395,FRED 3: Camp Fred,MOVIE,2012,81,"comedy, family",US,2.0,2654.0,5.926,5.6
tm183037,Don 2,MOVIE,2011,139,"action, thriller, crime, european","IN, DE",7.0,52750.0,9.333,7.0
tm177958,Pyaar Ka Punchnama,MOVIE,2011,149,"romance, drama, comedy, european",IN,7.6,21521.0,4.851,7.0
ts6879,El Reemplazante,SHOW,2012,45,drama,CL,8.5,777.0,4.391,8.0
tm178106,Chillar Party,MOVIE,2011,130,"comedy, drama, family",IN,7.5,7831.0,2.552,7.0
tm57610,Talaash,MOVIE,2012,139,"crime, thriller, drama, fantasy",IN,7.2,42188.0,8.367,6.8
tm169354,Coming Forth by Day,MOVIE,2012,96,drama,EG,6.5,234.0,0.6,5.4
tm176111,The Great Magician,MOVIE,2011,128,"thriller, drama, romance, comedy","CN, HK",5.9,1774.0,6.144,6.1
tm59372,Arjun: The Warrior Prince,MOVIE,2012,96,"action, animation, drama",IN,6.7,14.0,3.031,6.2
tm161804,Toll Booth,MOVIE,2011,97,drama,TR,6.4,4206.0,2.481,6.3
tm159593,No One Killed Jessica,MOVIE,2011,136,"drama, thriller, crime",IN,7.2,11783.0,4.471,6.7
ts39112,Justin Time,SHOW,2011,15,"action, animation, comedy, family",CA,6.0,16.0,3.657,8.0
tm44615,Ferrari Ki Sawaari,MOVIE,2012,140,"family, comedy, drama, sport",IN,6.4,5465.0,3.068,6.2
tm54780,Tiger & Bunny: The Beginning,MOVIE,2012,88,"scifi, animation, action",JP,6.6,264.0,2.996,6.5
tm175909,The Dirty Picture,MOVIE,2011,144,"drama, comedy",IN,6.6,9662.0,7.209,6.3
tm57382,Kath & Kimderella,MOVIE,2012,80,comedy,AU,5.3,1362.0,1.768,4.8
tm59289,Rowdy Rathore,MOVIE,2012,143,"action, comedy, crime",IN,5.7,22497.0,6.89,6.1
tm47171,OMG: Oh My God!,MOVIE,2012,125,"drama, fantasy, comedy",IN,8.1,58017.0,7.512,7.3
tm48239,Ek Main Aur Ekk Tu,MOVIE,2012,110,"drama, romance, comedy",IN,5.7,6820.0,4.062,5.6
tm160021,A Beautiful Life,MOVIE,2011,124,"drama, romance","HK, CN",6.7,927.0,8.025,6.6
tm54371,Mugamoodi,MOVIE,2012,156,"drama, action",IN,5.1,1215.0,3.958,5.0
tm172883,Game,MOVIE,2011,135,"thriller, action, crime, drama, european",IN,5.2,2353.0,4.612,5.2
tm174518,Bodyguard,MOVIE,2011,134,"drama, action, romance, comedy",IN,4.6,25778.0,7.661,5.3
tm70528,Material,MOVIE,2012,94,"comedy, drama",ZA,7.1,967.0,1.176,5.9
tm74031,Kyaa Super Kool Hain Hum,MOVIE,2012,137,"drama, comedy",IN,5.0,3926.0,3.166,5.1
tm181856,Jeff Dunham: Controlled Chaos,MOVIE,2011,90,"comedy, documentation",US,7.4,2296.0,2.89,6.3
tm38013,Players,MOVIE,2012,165,"thriller, action, crime",IN,4.2,4534.0,4.977,5.2
tm42306,Aiyyaa,MOVIE,2012,146,"romance, comedy",IN,4.3,1889.0,4.582,5.1
ts32561,Office Girls,SHOW,2011,46,"comedy, drama, romance",TW,6.8,153.0,9.047,7.3
tm39606,Tere Naal Love Ho Gaya,MOVIE,2012,126,"drama, comedy, romance",IN,5.8,4381.0,3.262,6.2
tm167241,Ragini MMS,MOVIE,2011,93,"drama, horror, thriller",IN,5.1,2654.0,2.033,3.8
ts37864,The Glamorous Imperial Concubine,SHOW,2011,47,"drama, history, romance",CN,6.8,156.0,3.417,7.0
tm71992,Grandmaster,MOVIE,2012,130,"thriller, action",IN,6.9,2211.0,3.101,6.5
tm31948,26 Years,MOVIE,2012,135,"drama, thriller, crime",KR,6.3,1217.0,8.673,7.0
tm166810,Michael,MOVIE,2011,97,"drama, thriller",IN,5.3,168.0,0.823,5.5
tm37573,"All's Well, Ends Well",MOVIE,2012,118,"romance, comedy",HK,5.1,338.0,4.674,4.9
tm69915,Heroine,MOVIE,2012,140,drama,IN,5.0,4353.0,4.154,5.0
tm164090,Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,90,"comedy, documentation",US,6.9,234.0,2.301,6.5
tm37175,Jeff Dunham: Minding the Monsters,MOVIE,2012,80,comedy,US,7.0,1416.0,2.314,6.2
tm66725,Kalakalappu,MOVIE,2012,149,comedy,IN,6.9,1398.0,2.488,6.5
tm166740,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,66,"animation, action, fantasy",IN,8.7,13.0,1.028,5.1
tm200838,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,70,animation,XX,7.9,50.0,1.172,7.0
ts44064,Drunken to Love You,SHOW,2011,46,"comedy, drama, romance",TW,6.5,114.0,3.195,8.0
tm169128,An Elf's Story,MOVIE,2011,24,"scifi, animation, family, fantasy",US,5.1,510.0,2.874,2.7
tm172353,Bbuddah Hoga Terra Baap,MOVIE,2011,117,"thriller, action, comedy, crime",IN,5.6,2908.0,2.229,5.2
tm34746,Luv Shuv Tey Chicken Khurana,MOVIE,2012,140,comedy,IN,6.6,3925.0,2.564,6.3
tm29400,Bwakaw,MOVIE,2012,104,drama,PH,7.1,301.0,0.831,6.2
tm53360,Blood Money,MOVIE,2012,110,"thriller, drama, crime, action",IN,5.0,1480.0,31.391,6.1
tm180532,Shaitan,MOVIE,2011,121,"drama, thriller, action, crime",IN,7.2,8475.0,4.098,6.4
tm34142,Department,MOVIE,2012,141,"action, thriller, crime",IN,3.2,1058.0,2.125,6.0
ts27875,Masha's tales,SHOW,2012,5,"animation, family",RU,6.4,92.0,5.32,7.5
tm162592,Asmaa,MOVIE,2011,96,drama,EG,8.1,4483.0,2.327,8.3
tm70652,Thaandavam,MOVIE,2012,167,"action, thriller",IN,6.1,2034.0,2.596,5.6
tm172211,Question Mark,MOVIE,2011,102,drama,ID,7.0,259.0,1.21,6.0
tm57256,Husbands in Goa,MOVIE,2012,150,comedy,IN,3.8,286.0,1.4,4.4
ts128422,Takki,SHOW,2012,16,drama,SA,6.6,269.0,1.29,8.3
tm51412,Moshe Kasher: Live in Oakland,MOVIE,2012,60,comedy,US,6.7,332.0,1.654,7.1
tm38331,The Mistress,MOVIE,2012,125,"romance, drama",PH,6.3,361.0,2.635,5.9
tm481620,The Rise of Kirmada,MOVIE,2012,68,animation,IN,8.2,67.0,2.328,8.0
tm30278,Vettai,MOVIE,2012,150,"action, thriller",IN,6.0,2450.0,3.941,6.8
tm165932,Muran,MOVIE,2011,134,"drama, thriller, action",IN,6.3,294.0,1.181,6.3
tm63368,A World Not Ours,MOVIE,2012,93,"documentation, history",PS,7.8,388.0,1.106,8.0
tm161632,Tom Papa: Live in New York City,MOVIE,2011,57,comedy,US,7.2,501.0,2.414,6.1
tm182026,Zokkomon,MOVIE,2011,109,"fantasy, drama, family, action",IN,4.0,411.0,1.927,6.8
tm235979,My Friend Pinto,MOVIE,2011,115,"comedy, crime, drama",IN,5.3,392.0,1.489,5.0
tm60213,One More Try,MOVIE,2012,100,drama,PH,6.0,203.0,3.235,6.0
tm159623,No Other Woman,MOVIE,2011,104,"romance, drama, thriller",PH,5.9,311.0,1.583,4.0
tm34646,Sisterakas,MOVIE,2012,110,"comedy, drama",PH,5.0,285.0,3.424,5.1
ts39465,Yours Fatefully,SHOW,2012,44,"drama, comedy, romance",SG,6.7,15.0,1.796,6.0
ts69208,"Love, Now",SHOW,2012,45,drama,TW,7.5,124.0,1.774,6.5
tm224577,Phone Swap,MOVIE,2012,111,"comedy, romance",NG,6.2,174.0,1.968,5.0
tm172504,"Darling, Something's Wrong with Your Head",MOVIE,2011,78,"drama, romance, war, european","PS, NL, US, AE",6.7,133.0,1.666,5.8
ts20110,Peaky Blinders,SHOW,2013,58,"crime, drama, european",GB,8.8,511668.0,1038.077,8.558
ts20837,Outlander,SHOW,2014,60,"scifi, romance, drama, fantasy",US,8.4,156114.0,101.42,8.2
ts20682,Attack on Titan,SHOW,2013,24,"action, scifi, animation, horror, drama, fantasy",JP,9.0,325381.0,85.661,8.6
ts20824,The Originals,SHOW,2013,43,"scifi, drama, fantasy, horror",US,8.3,133406.0,114.436,8.6
ts1639,The Blacklist,SHOW,2013,43,"thriller, drama, crime",US,8.0,242640.0,227.557,7.6
ts20351,Married at First Sight,SHOW,2014,64,"reality, romance, european",US,6.1,2021.0,15.176,5.6
ts11188,The Flash,SHOW,2014,42,"drama, scifi, family, animation, action",US,7.6,341393.0,537.156,7.8
tm140389,Paddington,MOVIE,2014,95,"comedy, family, fantasy, animation, european","US, FR, GB",7.2,113735.0,34.868,7.1
ts20248,Reign,SHOW,2013,42,"drama, fantasy, history",US,7.5,47751.0,50.864,8.0
tm150928,It Follows,MOVIE,2014,101,"horror, thriller",US,6.8,236513.0,123.984,6.559
tm140877,The Imitation Game,MOVIE,2014,113,"thriller, drama, war","GB, US",8.0,756254.0,49.673,8.0
ts8146,The 100,SHOW,2014,42,"scifi, drama, action",US,7.6,245631.0,217.82,7.9
tm176864,Rush,MOVIE,2013,123,"drama, action, sport, european","US, DE, GB",8.1,471586.0,29.759,7.7
tm151663,Nightcrawler,MOVIE,2014,118,"thriller, crime, drama",US,7.8,531779.0,57.276,7.7
ts16045,Are You The One?,SHOW,2014,41,reality,US,6.4,2528.0,9.479,5.9
tm145655,St. Vincent,MOVIE,2014,102,"comedy, drama",US,7.2,102820.0,18.905,7.1
tm160621,The Conjuring,MOVIE,2013,112,"horror, thriller",US,7.5,496484.0,221.925,7.533
ts20292,Gotham,SHOW,2014,43,"drama, scifi, thriller, action, crime",US,7.8,227760.0,106.651,7.6
tm134967,How to Train Your Dragon 2,MOVIE,2014,102,"action, animation, comedy, family, fantasy",US,7.8,330975.0,134.7,7.67
tm183523,Oldboy,MOVIE,2013,104,"action, drama, thriller",US,5.7,75728.0,20.164,5.9
ts6,House of Cards,SHOW,2013,52,drama,US,8.7,497650.0,33.936,8.1
tm148147,Big Eyes,MOVIE,2014,106,"drama, documentation, romance, crime","CA, US",7.2,51.0,11.98,6.998
tm143227,Begin Again,MOVIE,2013,104,"drama, comedy, music, romance",US,7.4,155249.0,15.514,7.254
ts21374,How to Get Away with Murder,SHOW,2014,43,"crime, drama, thriller",US,8.1,148643.0,47.891,7.9
ts14583,BoJack Horseman,SHOW,2014,26,"comedy, drama, animation",US,8.8,148127.0,92.956,8.6
tm169719,42,MOVIE,2013,128,"drama, sport",US,7.5,94520.0,18.267,7.1
tm182429,Olympus Has Fallen,MOVIE,2013,120,"action, thriller, drama",US,6.5,274270.0,55.607,6.4
ts20261,Madam Secretary,SHOW,2014,43,"war, thriller, drama",US,7.6,22894.0,28.001,6.9
tm175843,Dark Skies,MOVIE,2013,97,"scifi, thriller, horror, documentation",US,6.3,75663.0,22.342,6.3
tm163686,Blue Jasmine,MOVIE,2013,99,"drama, comedy, european",US,7.3,201749.0,11.254,7.0
ts21367,Jane the Virgin,SHOW,2014,42,"drama, comedy",US,7.8,46286.0,62.316,7.952
ts20108,Henry Danger,SHOW,2014,24,"comedy, family, action, scifi, thriller, drama",US,5.6,5450.0,103.628,8.3
tm180572,Insidious: Chapter 2,MOVIE,2013,106,"horror, thriller",US,6.5,169039.0,68.55,6.7
tm151807,Creep,MOVIE,2014,82,"horror, thriller",US,6.3,53408.0,16.301,6.4
tm151764,Barefoot,MOVIE,2014,90,"romance, comedy, drama",US,6.6,24167.0,9.2,6.6
ts20823,Orange Is the New Black,SHOW,2013,59,"drama, comedy, crime",US,8.1,298009.0,87.316,7.7
tm153284,The Giver,MOVIE,2014,97,"drama, scifi, thriller, romance",US,6.4,118877.0,17.987,6.5
ts32218,The Thundermans,SHOW,2013,24,"action, scifi, family, comedy, drama",US,5.6,5525.0,44.482,8.1
ts35682,Wentworth,SHOW,2013,46,"drama, thriller, crime",AU,8.6,22056.0,32.398,8.1
tm165967,Mandela: Long Walk to Freedom,MOVIE,2013,141,"drama, history","GB, ZA",7.1,27866.0,7.715,6.9
ts20791,Z Nation,SHOW,2014,43,"action, comedy, drama, horror, romance, scifi",US,6.6,36415.0,66.412,7.2
tm161525,The Green Inferno,MOVIE,2013,100,"thriller, horror","US, CA, CL",5.3,44016.0,32.224,5.7
tm168400,Empire State,MOVIE,2013,94,"action, drama, crime, thriller, european",US,5.2,21538.0,39.273,5.4
tm161282,Penguins of Madagascar,MOVIE,2014,92,"family, animation, action, comedy, scifi",US,6.6,89930.0,92.315,6.505
ts20280,Marco Polo,SHOW,2014,55,"action, drama, history, documentation",US,8.0,71735.0,22.636,7.4
tm148671,A Walk Among the Tombstones,MOVIE,2014,113,"drama, thriller, action, crime",US,6.5,121232.0,67.95,6.309
tm171042,The Call,MOVIE,2013,94,"thriller, crime, drama, horror, action, european",US,6.7,121843.0,41.764,6.8
tm178712,Scary Movie 5,MOVIE,2013,89,"comedy, horror",US,3.5,71405.0,122.985,4.8
ts20288,From Dusk Till Dawn: The Series,SHOW,2014,45,"scifi, action, crime, fantasy, horror",US,6.9,20132.0,24.329,6.3
ts20281,Sofia the First,SHOW,2013,24,"animation, family, fantasy",US,6.8,2978.0,44.688,7.2
tm187279,Philomena,MOVIE,2013,97,"drama, comedy, european",GB,7.6,99647.0,9.752,7.4
tm141648,Seventh Son,MOVIE,2014,102,"action, fantasy","US, GB, CN, CA",5.5,76939.0,45.215,5.5
ts314002,The Seven Deadly Sins,SHOW,2014,25,"scifi, action, animation, comedy, fantasy",JP,7.9,31085.0,25.225,8.503
tm176630,The Butler,MOVIE,2013,132,"drama, european",US,7.2,114768.0,15.115,7.355
ts32060,Sam & Cat,SHOW,2013,24,"comedy, drama, family",US,5.6,9744.0,29.349,7.9
tm184608,Texas Chainsaw 3D,MOVIE,2013,87,"thriller, horror",US,4.8,49312.0,53.401,5.4
tm187979,Cloudy with a Chance of Meatballs 2,MOVIE,2013,95,"animation, scifi, drama, comedy, family, fantasy",US,6.3,102071.0,64.17,6.443
tm171228,Metallica: Through the Never,MOVIE,2013,93,music,US,7.1,17513.0,14.231,6.8
ts2727,Derek,SHOW,2013,27,"drama, comedy, european",GB,8.1,32622.0,9.295,7.4
ts20790,Young & Hungry,SHOW,2014,21,"comedy, drama, romance",US,7.3,15780.0,21.126,6.8
tm161029,Mr. Peabody & Sherman,MOVIE,2014,92,"action, family, animation, romance, comedy, fantasy, history, scifi",US,6.8,69669.0,37.533,6.7
ts20014,Sailor Moon Crystal,SHOW,2014,24,"animation, scifi, fantasy, romance, action, comedy, drama, family",JP,7.8,2148.0,47.398,8.2
tm181270,The Frozen Ground,MOVIE,2013,105,"thriller, crime, drama",US,6.4,62972.0,10.449,6.3
ts35570,Lovesick,SHOW,2014,25,"comedy, european",GB,8.0,19899.0,12.802,7.5
tm237143,Shrek the Musical,MOVIE,2013,130,"music, comedy, fantasy, family",US,6.9,3695.0,14.341,7.2
tm181081,The Railway Man,MOVIE,2013,116,"drama, history, european, romance, war","AU, CH, GB",7.1,40175.0,8.518,6.9
ts20336,Velvet,SHOW,2014,57,"drama, romance, thriller, action, crime, european",ES,8.1,6115.0,37.631,6.1
ts35244,Tiny House Nation,SHOW,2014,43,reality,US,7.1,1143.0,4.211,7.5
tm144121,Get on Up,MOVIE,2014,139,"drama, music",US,6.9,24613.0,9.945,6.7
ts2161,Angry Birds Toons,SHOW,2013,2,"comedy, family, fantasy, animation, action, european",FI,6.2,835.0,6.854,6.7
ts32271,Shtisel,SHOW,2013,49,drama,IL,8.6,7062.0,14.873,8.4
ts20097,Hemlock Grove,SHOW,2013,49,"thriller, scifi, drama, fantasy, horror",US,7.0,39998.0,22.596,7.3
ts22383,Rabbids Invasion,SHOW,2013,10,"animation, comedy, family, european","FR, US",5.4,1930.0,11.398,6.0
tm143642,Who Am I,MOVIE,2014,105,"thriller, european, scifi, crime, drama",DE,7.5,55044.0,26.737,7.7
ts36836,Zach Stone Is Gonna Be Famous,SHOW,2013,20,comedy,US,8.3,3744.0,3.795,8.5
ts22426,The Irregular at Magic High School,SHOW,2014,23,"action, scifi, animation, drama, fantasy, romance",JP,7.1,3386.0,46.794,7.9
ts42168,Resurrection: Ertugrul,SHOW,2014,57,"action, war, drama, history",TR,7.9,36177.0,30.409,7.7
tm148976,The Battered Bastards of Baseball,MOVIE,2014,80,"documentation, sport",US,8.0,4043.0,6.367,7.6
ts35282,The Next Step,SHOW,2013,24,"drama, family, romance",CA,6.0,1950.0,9.889,7.2
tm136601,Walk of Shame,MOVIE,2014,95,comedy,US,6.0,54465.0,23.897,5.9
tm151716,Cowspiracy: The Sustainability Secret,MOVIE,2014,90,documentation,US,8.2,25133.0,6.207,7.8
tm166628,The Smurfs 2,MOVIE,2013,105,"comedy, animation, fantasy, family",US,5.3,42011.0,32.819,5.8
tm140342,"I, Frankenstein",MOVIE,2014,92,"thriller, scifi, horror, action, fantasy","AU, US",5.1,80985.0,22.094,5.3
ts20883,"Nicky, Ricky, Dicky & Dawn",SHOW,2014,23,"family, comedy",US,5.1,2642.0,27.683,7.3
tm151447,The November Man,MOVIE,2014,108,"thriller, action, crime","GB, US",6.2,67737.0,19.151,6.1
tm147913,PK,MOVIE,2014,153,"drama, comedy, scifi, romance, fantasy",IN,8.1,181406.0,10.001,7.7
ts11794,The Cat in the Hat Knows a Lot About That!,SHOW,2013,19,"animation, family, fantasy, scifi, comedy","CA, US, GB",6.4,634.0,5.109,7.8
ts22445,The Heirs,SHOW,2013,59,"comedy, drama, romance",KR,7.5,10653.0,44.966,7.8
tm149038,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,80,"comedy, documentation",US,8.3,8084.0,6.745,7.6
tm161562,Copenhagen,MOVIE,2014,98,"drama, romance","DK, US",7.0,13233.0,5.982,6.7
ts34066,Mako: Island of Secrets,SHOW,2013,25,"scifi, action, family, fantasy, romance, comedy, drama",AU,6.7,4015.0,41.013,7.6
ts521,Black Ink Crew New York,SHOW,2013,43,reality,US,4.6,468.0,7.659,8.5
tm71148,Thanks for Sharing,MOVIE,2013,112,"comedy, drama, romance",US,6.4,28396.0,9.986,5.9
tm156811,Queen,MOVIE,2014,146,"comedy, drama",IN,8.1,65418.0,8.434,7.4
ts82979,Talking Tom and Friends,SHOW,2014,14,"animation, comedy, drama, family, action, fantasy, european",US,6.1,411.0,22.213,8.2
ts33590,The Haunted Hathaways,SHOW,2013,24,"comedy, family, fantasy",US,5.0,2538.0,17.079,7.1
tm138431,Virunga,MOVIE,2014,90,"documentation, war","CD, GB",8.2,11476.0,5.962,8.0
ts33840,Nagi-Asu: A Lull in the Sea,SHOW,2013,23,"scifi, animation, drama, fantasy, romance",JP,7.3,1165.0,12.324,7.5
tm171965,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,75,"comedy, documentation, romance",US,8.0,3331.0,3.358,7.5
tm157085,Effie Gray,MOVIE,2014,104,"drama, romance",GB,6.0,5596.0,6.142,5.9
tm185208,Elena,MOVIE,2013,82,"documentation, european, drama, family","US, BR",7.6,1823.0,4.427,7.4
tm180599,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,101,"thriller, horror, drama",US,5.2,17264.0,27.261,5.8
ts58137,Pac-Man and the Ghostly Adventures,SHOW,2013,22,"action, scifi, drama, animation, comedy, family, fantasy","CA, JP, US",4.6,678.0,13.763,7.4
tm154797,The Nut Job,MOVIE,2014,85,"comedy, crime, family, animation","CA, KR",5.7,28484.0,20.859,5.7
ts20709,Yowamushi Pedal,SHOW,2013,25,"comedy, animation, drama, sport",JP,7.7,824.0,23.065,7.3
ts10206,Ever After High,SHOW,2013,29,"action, animation, comedy, drama, family, fantasy, music, romance",CA,7.7,1184.0,28.659,7.8
ts154625,Dérapages,SHOW,2014,53,"drama, thriller",FR,7.9,14.0,8.389,6.9
ts37187,Senora Acero,SHOW,2014,43,"crime, drama, romance",US,6.8,387.0,139.363,7.8
ts53641,Lalaloopsy,SHOW,2013,23,animation,US,6.5,104.0,0.939,4.0
tm148910,Haider,MOVIE,2014,150,"action, drama, thriller, crime",IN,8.1,54709.0,7.372,7.1
tm182275,Omar,MOVIE,2013,96,"romance, thriller, drama, crime, war",PS,7.5,14318.0,0.6,7.2
tm152904,Tom Segura: Completely Normal,MOVIE,2014,74,"comedy, documentation",US,7.7,2663.0,3.08,7.2
tm172710,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,127,documentation,US,6.9,7934.0,6.159,6.6
tm143757,Search Party,MOVIE,2014,93,comedy,US,5.6,7840.0,7.116,5.4
ts35628,Some Assembly Required,SHOW,2014,24,"comedy, documentation, reality",CA,8.5,22.0,12.121,6.8
ts58010,VeggieTales in the House,SHOW,2014,18,"comedy, family, music, animation",US,4.2,311.0,5.953,5.5
tm143372,Stand by Me Doraemon,MOVIE,2014,90,"scifi, fantasy, drama, family, animation, comedy",JP,7.3,7989.0,65.668,7.339
ts21368,Black Money Love,SHOW,2014,76,"action, drama, romance, crime",TR,7.4,6167.0,24.363,8.2
tm167944,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,110,"drama, fantasy, animation, action, romance, horror",JP,7.8,10173.0,41.099,7.6
tm187390,The Square,MOVIE,2013,88,"documentation, drama, history","US, EG, GB",8.1,8949.0,5.434,7.8
tm143363,2 States,MOVIE,2014,149,"drama, comedy, romance",IN,6.9,25656.0,9.483,6.6
ts88394,Moving Art,SHOW,2014,28,"documentation, family",US,8.6,454.0,1.4,6.3
ts36127,Turbo FAST,SHOW,2013,19,"comedy, family, sport, scifi, animation, action",US,6.3,613.0,7.35,8.7
ts3799,All Hail King Julien,SHOW,2014,23,"comedy, family, fantasy, animation, action",US,7.0,2042.0,26.409,6.9
tm171929,The Short Game,MOVIE,2013,100,"documentation, sport",US,7.3,1570.0,3.553,7.3
tm155291,Highway,MOVIE,2014,133,"crime, romance, drama",IN,7.6,28688.0,6.553,7.3
tm180643,Jinxed,MOVIE,2013,70,"comedy, family","CA, US",6.3,1488.0,6.357,6.7
ts16117,20 Minutes,SHOW,2013,46,"action, drama, romance",TR,7.1,1730.0,2.294,8.0
tm182969,Dabbe: The Possession,MOVIE,2013,120,horror,TR,6.8,5831.0,5.475,6.0
tm215339,Ralphie May: Imperfectly Yours,MOVIE,2013,69,"comedy, documentation",US,5.4,154.0,2.254,5.0
tm151927,Mary Kom,MOVIE,2014,122,"history, action, drama, sport",IN,6.8,10769.0,4.917,7.1
tm139922,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,"music, documentation",US,7.3,1677.0,1.52,7.3
tm185797,Fukrey,MOVIE,2013,137,"drama, comedy, romance",IN,6.9,11780.0,4.383,6.8
tm174289,Free Birds,MOVIE,2013,91,"animation, comedy, family, scifi",US,5.8,24140.0,17.211,5.9
tm181092,Race 2,MOVIE,2013,150,"thriller, action, crime",IN,5.3,16455.0,4.49,5.6
ts20781,Incomplete Life,SHOW,2014,73,"comedy, drama",KR,8.5,1987.0,6.909,9.1
tm183706,Birth Reborn,MOVIE,2013,91,"documentation, family, history",BR,7.8,252.0,1.248,6.8
tm168685,The Berlin File,MOVIE,2013,120,"action, thriller",KR,6.6,7198.0,7.911,6.7
tm199408,Monty Python: The Meaning of Live,MOVIE,2014,96,"documentation, comedy",GB,7.6,598.0,1.714,7.4
tm140911,Imperial Dreams,MOVIE,2014,87,drama,US,6.7,4509.0,5.371,6.5
tm148597,Monty Python: Live (Mostly),MOVIE,2014,138,"documentation, comedy, music",GB,7.6,2623.0,3.875,7.1
ts76743,Dokidoki! PreCure,SHOW,2013,23,"animation, action, comedy, drama, fantasy, family",JP,6.2,195.0,9.028,8.0
ts83239,Booba,SHOW,2014,4,"comedy, animation, family",RU,6.9,392.0,10.547,7.0
tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,2014,22,"action, animation, family, comedy, scifi",US,6.5,1340.0,12.506,6.9
tm148457,Hasee Toh Phasee,MOVIE,2014,141,"comedy, romance",IN,6.8,15152.0,6.166,6.7
ts75104,Zbrodnia,SHOW,2014,45,"crime, action",PL,6.2,692.0,2.675,6.3
tm148662,The Boss: Anatomy of a Crime,MOVIE,2014,98,"drama, crime","VE, AR",7.3,2156.0,25.309,7.8
