id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,50,"comedy, documentation",US,7.2,660.0,1.843,7.2
tm126769,Waiting for the Hearse,MOVIE,1985,87,comedy,AR,8.0,6399.0,7.81,8.1
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,30,"comedy, documentation",US,6.1,360.0,2.482,6.3
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,"action, drama, war, animation, scifi",JP,7.6,1236.0,12.741,7.5
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,81,"comedy, documentation",GB,7.9,15230.0,6.833,7.4
tm52815,Disco Dancer,MOVIE,1982,106,"drama, romance",IN,6.4,1476.0,7.879,5.3
tm159912,Agneepath,MOVIE,1990,174,"drama, action, crime",IN,7.6,8947.0,4.062,6.5
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,comedy,GB,8.1,1522.0,1.801,6.9
tm38736,Too Young The Hero,MOVIE,1988,100,"drama, war",US,6.7,502.0,1.485,6.2
tm51083,A Stoning in Fulham County,MOVIE,1988,120,"thriller, crime, drama",US,5.9,387.0,1.01,5.8
tm137013,The Ryan White Story,MOVIE,1989,102,drama,US,7.2,863.0,1.981,5.9
tm157603,Dil,MOVIE,1990,172,"drama, comedy, romance",IN,6.6,5316.0,3.992,6.5
tm258072,Adam: His Song Continues,MOVIE,1986,100,"crime, drama",US,7.0,212.0,1.603,7.0
tm114356,The George McKenna Story,MOVIE,1988,100,drama,US,6.0,921.0,2.296,6.1
tm157853,In Defense of a Married Man,MOVIE,1990,94,"drama, crime",US,5.6,207.0,2.444,4.9
tm446654,Mujrim,MOVIE,1989,162,"drama, action, crime",IN,5.4,197.0,1.418,6.0
tm348735,Aakhri Adaalat,MOVIE,1988,148,"action, crime, thriller",IN,5.1,92.0,1.374,5.0
tm151332,"Alexandria, Again and Forever",MOVIE,1989,105,drama,"FR, EG",6.5,658.0,0.817,5.3
tm24110,Strange Voices,MOVIE,1987,100,drama,US,6.3,360.0,2.76,6.8
tm371359,Jaal,MOVIE,1986,159,"action, drama, thriller",IN,5.2,125.0,3.366,5.0
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,drama,US,7.2,144.0,2.246,8.0
tm172482,Sohni Mahiwal,MOVIE,1984,160,"romance, drama, action",IN,6.1,297.0,6.052,5.8
tm419052,Ek Jaan Hain Hum,MOVIE,1983,151,"family, romance",IN,6.3,70.0,0.986,7.0
tm47673,An Egyptian Story,MOVIE,1982,129,"drama, fantasy",EG,7.3,1126.0,1.77,6.7
tm52274,The Little Wars,MOVIE,1982,108,"war, drama, european","FR, LB",6.3,152.0,1.956,5.5
tm147829,Unspeakable Acts,MOVIE,1990,100,drama,US,6.1,464.0,2.075,5.3
ts20981,Survivor,SHOW,2000,48,reality,US,7.4,24687.0,54.19,7.4
tm107744,Mission: Impossible,MOVIE,1996,110,"thriller, action",US,7.1,420673.0,41.115,6.9
ts22176,Stargate SG-1,SHOW,1997,44,"scifi, drama, action","CA, US",8.4,90196.0,88.851,8.3
tm15897,Se7en,MOVIE,1995,127,"crime, thriller, drama",US,8.6,1606270.0,51.633,8.352
ts21223,Pokémon,SHOW,1997,22,"action, scifi, animation, comedy, fantasy, family",JP,7.4,198.0,115.356,7.633
tm191013,Boogie Nights,MOVIE,1997,156,drama,US,7.9,261563.0,20.436,7.6
tm122434,Forrest Gump,MOVIE,1994,142,"drama, romance",US,8.8,2021343.0,63.449,8.478
tm25947,Snatch,MOVIE,2000,103,"crime, comedy","US, GB",8.3,841435.0,25.203,7.8
tm43808,The Talented Mr. Ripley,MOVIE,1999,139,"thriller, drama, crime",US,7.4,207524.0,13.78,7.2
